result_count,comp_country,comp_iso,person_country,person_iso
505,Other European countries,LI,Germany,DE
495,Other European countries,GR,Other European countries,CY
491,United Kingdom,GB,Other European countries,NO
489,Other European countries,PT,United Kingdom,GB
486,Germany,DE,Other European countries,AZ
483,Germany,DE,Other European countries,GR
478,Other European countries,FI,Other European countries,LV
478,Other European countries,FI,Other European countries,UA
478,Other European countries,SE,France,FR
475,France,FR,Hungary,HU
474,Spain,ES,Other European countries,IE
473,Other European countries,BY,Other European countries,UA
472,Poland,PL,Other European countries,LT
470,Poland,PL,Belgium,BE
468,Netherlands,NL,Other European countries,UA
464,Other European countries,HR,Other European countries,BA
463,Spain,ES,Other European countries,FI
459,United Kingdom,GB,Switzerland,CH
447,Other European countries,IT,Other European countries,AT
446,Other European countries,UA,Poland,PL
445,Belgium,BE,Other European countries,GR
444,Other European countries,EE,Other European countries,RU
441,Other European countries,AT,Other European countries,IT
430,Other European countries,SK,Germany,DE
429,Belgium,BE,Other European countries,IT
422,Other European countries,SE,Hungary,HU
420,Other European countries,IT,Other European countries,RU
419,Germany,DE,Other European countries,IE
418,Spain,ES,Other European countries,AT
418,Other European countries,FI,Other European countries,RU
415,United Kingdom,GB,Hungary,HU
415,Hungary,HU,France,FR
415,Other European countries,LU,Belgium,BE
413,Switzerland,CH,Other European countries,FI
413,Germany,DE,Other European countries,DK
409,Other European countries,IE,Germany,DE
408,United Kingdom,GB,Other European countries,LT
406,Other European countries,SK,Other European countries,UA
404,United Kingdom,GB,Other European countries,TR
401,France,FR,Other European countries,LU
399,Spain,ES,Other European countries,IL
392,Germany,DE,Other European countries,PT
391,Other European countries,AT,Other European countries,UA
390,Other European countries,DK,Spain,ES
390,France,FR,Other European countries,FI
389,Other European countries,LU,France,FR
389,Netherlands,NL,Poland,PL
388,Poland,PL,Other European countries,RU
385,Germany,DE,Other European countries,SE
384,Czech Republic,CZ,Other European countries,RU
383,Other European countries,FI,Switzerland,CH
376,Hungary,HU,Other European countries,RU
376,Other European countries,SK,Other European countries,RU
373,Belgium,BE,Poland,PL
372,Other European countries,DK,Other European countries,IT
370,Poland,PL,United Kingdom,GB
370,Other European countries,SI,Other European countries,RU
369,Other European countries,IE,Netherlands,NL
369,Other European countries,SE,Other European countries,EE
366,Other European countries,IE,Poland,PL
365,Hungary,HU,Other European countries,IT
362,Switzerland,CH,Other European countries,LT
362,Poland,PL,France,FR
359,Germany,DE,Spain,ES
358,Other European countries,BA,Other European countries,HR
358,Other European countries,RS,Other European countries,RU
358,Other European countries,UA,Other European countries,AM
355,Other European countries,DK,Other European countries,LV
349,Other European countries,NO,Netherlands,NL
346,Other European countries,LV,Poland,PL
345,Other European countries,BA,Hungary,HU
343,Switzerland,CH,Spain,ES
343,United Kingdom,GB,Belgium,BE
343,United Kingdom,GB,Other European countries,DK
341,Germany,DE,Other European countries,HR
340,France,FR,Other European countries,SE
339,Other European countries,EE,Other European countries,LT
334,Netherlands,NL,Other European countries,TR
332,Other European countries,SI,Other European countries,IT
330,Other European countries,IE,Spain,ES
327,Other European countries,AD,France,FR
324,Other European countries,FI,Other European countries,IT
320,Other European countries,DK,Hungary,HU
319,Other European countries,FI,Other European countries,AT
