id,name,country_id,full_date,year,month,day,wgs_long,wgs_lat,championship_type,is_championship
AEOMoliceiroOpen2026,AEO Moliceiro Open 2026,Portugal,2026-01-31,2026,1,31,-8.604065,40.601017,,0
AeonMallLongBien2024,Aeon Mall Long Bien 2024,Vietnam,2024-05-25,2024,5,25,105.899547,21.027567,,0
AFCubeDays2015,ÅF Cube Days 2015,Sweden,2015-10-17,2015,10,17,12.276758,58.272065,,0
AficubeA2022,Aficube A 2022,Israel,2022-04-17,2022,4,17,34.921063,32.199559,,0
AficubeB2022,Aficube B 2022,Israel,2022-04-19,2022,4,19,34.921063,32.199559,,0
AfonsodePaivaCubeDay2025,Afonso de Paiva Cube Day 2025,Portugal,2025-11-08,2025,11,8,-7.50206,39.820747,,0
AfraidinAirdrie2023,Afraid in Airdrie 2023,Canada,2023-10-29,2023,10,29,-114.005548,51.297294,,0
AFridayinAshfield2024,A Friday in Ashfield 2024,USA,2024-12-27,2024,12,27,-72.788426,42.526474,,0
AFSwedishCubeOpen2016,ÅF Swedish Cube Open 2016,Sweden,2016-10-15,2016,10,15,12.276756,58.272064,SE,1
AftabCubingDays2018,Aftab Cubing Days 2018,Iran,2018-03-15,2018,3,15,51.524482,35.738768,,0
AfterCubePartyLima2024,After Cube Party Lima 2024,Peru,2024-07-14,2024,7,14,-77.052211,-12.070117,,0
AGChampionship2017,AG Championship 2017,Indonesia,2017-12-23,2017,12,23,112.048432,-7.813756,,0
AGoodFridayinHorseheads2025,A Good Friday in Horseheads 2025,USA,2025-04-18,2025,4,18,-76.841602,42.162441,,0
AgoraIzcalli2025,Ágora Izcalli 2025,Mexico,2025-03-22,2025,3,22,-99.225785,19.631765,,0
AgouraCubing2023,Agoura Cubing 2023,USA,2023-06-17,2023,6,17,-118.786191,34.156773,,0
AgouraCubingAgain2023,Agoura Cubing Again 2023,USA,2023-07-22,2023,7,22,-118.785703,34.156567,,0
AgouraCubingReturns2024,Agoura Cubing Returns 2024,USA,2024-06-15,2024,6,15,-118.785724,34.156579,,0
AgouraSideEventsDay2025,Agoura Side Events Day 2025,USA,2025-04-06,2025,4,6,-118.785724,34.156579,,0
AgouraSpookCubing2023,Agoura SpookCubing 2023,USA,2023-10-28,2023,10,28,-118.785703,34.156567,,0
AgouraWinter2026,Agoura Winter 2026,USA,2026-01-24,2026,1,24,-118.785724,34.156579,,0
AgraCubeOpen2026,Agra Cube Open 2026,India,2026-02-21,2026,2,21,78.021361,27.202064,,0
Ags2014,Aguascalientes Summer 2014,Mexico,2014-07-26,2014,7,26,-102.272779,21.878524,,0
AguasCalientesSummer2015,Aguascalientes Summer 2015,Mexico,2015-08-28,2015,8,28,-102.289489,21.856466,,0
AguascalientesSummer2016,Aguascalientes Summer 2016,Mexico,2016-07-22,2016,7,22,-102.304012,21.878341,,0
AguascalientesSummer2025,Aguascalientes Summer 2025,Mexico,2025-07-26,2025,7,26,-102.332233,21.91036,,0
AgulhasNegrasOpen2012,Agulhas Negras Open 2012,Brazil,2012-05-05,2012,5,5,-44.455552,-22.462652,,0
AHAUOpen2019,AHAU Open 2019,China,2019-05-19,2019,5,19,117.258499,31.861246,,0
AieaLiiOkakopa2025,ʻAiea Liʻi ʻOkakopa 2025,USA,2025-10-26,2025,10,26,-157.92756,21.380925,,0
AirCapitalCubingSummer2023,Air Capital Cubing Summer 2023,USA,2023-08-05,2023,8,5,-97.194916,37.721385,,0
AirdrieNxNs2024,Airdrie NxNs 2024,Canada,2024-09-29,2024,9,29,-114.005548,51.297294,,0
AirplaneModeXVIOH2025,Gem City Airplane Mode Special VI OH 2025,USA,2025-08-10,2025,8,10,-84.233271,39.552281,,0
AirplaneModeXVOH2025,Gem City Airplane Mode Special V OH 2025,USA,2025-01-12,2025,1,12,-84.233271,39.552281,,0
AixenProvenceOpen2017,Aix-en-Provence Open 2017,France,2017-05-27,2017,5,27,5.436824,43.512609,,0
